q1_0,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q1_9,q2,q3,q4,q5,q6,q7_0,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q7_12,q7_13,q7_14,q8,q9,q10,q11_0,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q12,q13,q14,q15,q16,q17_0_0,q17_0_1,q17_0_2,q17_0_3,q17_0_4,q17_0_5,q17_0_6,q17_1_0,q17_1_1,q17_1_2,q17_1_3,q17_1_4,q17_1_5,q17_1_6,q17_2_0,q17_2_1,q17_2_2,q17_2_3,q17_2_4,q17_2_5,q17_2_6,q17_3_0,q17_3_1,q17_3_2,q17_3_3,q17_3_4,q17_3_5,q17_3_6,q17_4_0,q17_4_1,q17_4_2,q17_4_3,q17_4_4,q17_4_5,q17_4_6,q17_5_0,q17_5_1,q17_5_2,q17_5_3,q17_5_4,q17_5_5,q17_5_6,q17_6_0,q17_6_1,q17_6_2,q17_6_3,q17_6_4,q17_6_5,q17_6_6,q17_7_0,q17_7_1,q17_7_2,q17_7_3,q17_7_4,q17_7_5,q17_7_6,year,gender,age,income,cosize,tenure,weight
4,10,10,9,0,1,4,8,10,8,1,2,3,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,6,6,,,,,,,,,,4,,,,,6,6,3,2,1,7,5,2,3,1,1,7,4,5,7,4,3,4,2,3,1,2,2,7,5,6,1,2,4,2,7,1,3,1,5,1,1,3,1,3,1,6,3,6,3,7,2,7,1,6,2,3,6,5,4,1,4,2,4,1,1,3,1.197048
6,2,6,6,8,7,2,7,1,2,7,,,,,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,4,,,,,,,,,,,1,6,,,,6,6,6,2,4,7,2,7,1,3,4,2,6,1,7,2,1,3,4,5,4,1,4,5,1,5,6,7,4,2,5,6,4,1,5,2,2,3,2,7,1,2,2,7,5,2,7,2,3,6,6,7,7,4,2,7,4,1,2,2,3,3,0.586897
8,0,3,8,2,6,5,0,7,2,6,,,,,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,2,,,,2,,,1,,,,4,,,,,6,5,1,3,6,7,4,7,7,5,3,5,3,7,1,4,5,4,5,1,3,4,6,4,1,3,5,7,7,4,4,5,4,3,6,1,4,1,5,7,4,1,1,2,7,3,4,4,6,7,5,7,4,6,6,5,4,2,2,7,4,2,0.839057
7,4,4,9,3,5,9,2,1,9,4,,,,,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,4,,,,,,,,,,,3,,,,,5,5,5,1,2,2,1,1,6,2,6,3,4,6,1,3,6,6,6,3,7,3,5,1,1,6,3,6,1,7,1,1,3,3,6,2,5,5,1,5,1,5,5,7,6,4,5,6,4,1,2,7,5,4,3,2,4,2,3,1,4,2,1.352183
6,2,8,3,8,2,8,0,3,4,2,2,3,1,8,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,8,2,1,,3,1,,4,,,2,4,,,,,5,3,6,6,7,7,2,4,6,6,1,1,7,5,2,6,1,5,7,3,6,7,6,2,1,2,6,5,3,6,2,4,3,1,4,6,1,6,1,7,1,4,2,4,5,4,7,1,7,3,4,5,6,5,1,1,4,1,3,3,5,3,1.018148
7,6,7,10,2,2,9,0,0,0,6,,,,,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,,,,,,,,,,,2,3,2,2,,4,3,4,7,4,7,3,7,4,6,3,1,1,1,4,5,6,6,2,2,2,5,6,7,1,1,3,7,2,1,7,7,4,3,3,1,7,6,2,6,6,5,5,5,2,2,4,7,7,4,3,6,6,7,1,2,4,2,1,5,4,4,0.711089
1,10,0,5,9,6,2,10,1,1,3,1,1,,,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,3,,,,,,,,,,,3,,,,,5,3,3,2,6,4,4,7,2,5,1,4,7,4,7,4,4,6,5,2,7,6,5,4,1,7,6,6,1,7,7,4,7,3,7,7,6,6,6,5,4,1,6,4,1,4,1,4,3,4,7,4,5,6,2,6,4,1,3,5,2,4,1.183797
8,6,1,8,1,5,7,7,6,2,2,4,,,,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,6,9,1,,,,,,,,,2,7,,,,4,6,3,7,6,7,4,4,2,2,4,4,1,1,7,2,6,3,5,5,1,5,3,2,7,4,4,4,6,6,6,3,6,2,6,2,2,5,4,4,6,7,6,4,4,3,5,4,2,6,2,1,6,4,5,6,4,1,1,1,1,2,0.622611
10,0,2,4,1,7,4,9,9,5,3,4,,,,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,7,2,1,1,,,,,,,,4,,,,,1,1,5,3,5,1,5,2,1,2,5,5,3,3,5,5,2,5,3,4,3,7,7,4,1,4,7,5,6,6,3,5,4,6,4,2,7,5,6,7,3,3,1,6,2,3,6,1,6,6,2,5,7,6,6,7,4,1,5,5,3,4,1.409012
10,1,9,7,10,0,9,8,6,4,7,,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,,,,,,,,,,,3,,,,,4,1,4,6,1,6,2,4,1,2,5,4,4,3,4,5,4,3,5,1,3,5,2,1,4,2,4,1,3,1,6,3,2,4,7,5,6,1,3,6,2,3,6,5,2,2,1,6,3,7,6,6,3,4,2,2,4,1,2,5,3,1,1.207669
